reaction_type,set,reactants,products
<RX_2>,train,CCC1=C(C(=O)OCc2ccccc2)C(c2ccc(F)cc2F)NC(OC)=N1.O=C(Cl)Oc1ccc([N+](=O)[O-])cc1,CCC1=C(C(=O)OCc2ccccc2)C(c2ccc(F)cc2F)N(C(=O)Oc2ccc([N+](=O)[O-])cc2)C(OC)=N1
<RX_6>,train,COc1cc(OC)cc(C(=CC#N)c2ccc(O[Si](C)(C)C(C)(C)C)c(OC)c2)c1,COc1cc(OC)cc(C(=CC#N)c2ccc(O)c(OC)c2)c1
<RX_7>,train,CC(C)(C)OC(=O)Cn1cnc(-c2ccc([N+](=O)[O-])cc2)c1,CC(C)(C)OC(=O)Cn1cnc(-c2ccc(N)cc2)c1
<RX_7>,train,COc1cc(N2CCN(C(C)C)CC2)c(F)cc1[N+](=O)[O-],COc1cc(N2CCN(C(C)C)CC2)c(F)cc1N
<RX_3>,train,CC1(C)OB(c2ccoc2)OC1(C)C.O=C(O)NCc1cccc(Br)c1,O=C(O)NCc1cccc(-c2ccoc2)c1
<RX_3>,train,CON(C)C(=O)c1cn(-c2cccc(-c3cccnc3F)c2)cn1.Cc1ccnc(Br)c1,Cc1ccnc(C(=O)c2cn(-c3cccc(-c4cccnc4F)c3)cn2)c1
<RX_2>,train,COc1ncc(Cl)nc1N.O=S(=O)(Cl)c1cccc(Cl)c1Cl,COc1ncc(Cl)nc1NS(=O)(=O)c1cccc(Cl)c1Cl
<RX_2>,train,COc1ccc(-c2cc(N)on2)cc1.Cc1ccccc1C(=O)Cl,COc1ccc(-c2cc(NC(=O)c3ccccc3C)on2)cc1
<RX_2>,train,COC(=O)CCCCCCN.O=C(O)C(=O)c1cn2c3c(cccc13)CCC2,COC(=O)CCCCCCNC(=O)C(=O)c1cn2c3c(cccc13)CCC2
<RX_3>,train,COc1ccccc1B(O)O.O=Cc1ccc(Br)s1,COc1ccccc1-c1ccc(C=O)s1
<RX_2>,train,CC(C)(C)n1cc(C(=O)c2cncc(N)c2)c2cnc(N)nc12.O=C(O)Cn1cc(C2CC2)cn1,CC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cn3cc(C4CC4)cn3)c2)c2cnc(N)nc12
<RX_3>,train,COC(=O)c1cnc(Cl)cc1C(F)(F)F.COc1ccc(B(O)O)c(F)c1,COC(=O)c1cnc(-c2ccc(OC)cc2F)cc1C(F)(F)F
<RX_8>,train,CC(C)C=O.CCCCC(CC)CO,CCCCC(C=O)CC
<RX_1>,train,CC1CN(c2ccc(C(F)(F)F)cn2)C(C)CN1.O=C(CBr)Nc1ccc(Br)nc1,CC1CN(c2ccc(C(F)(F)F)cn2)C(C)CN1CC(=O)Nc1ccc(Br)nc1
<RX_9>,train,CCCCCC(C=C(Br)Br)c1ccc2c(c1)N(C(=O)OC(C)(C)C)CCC2(C)C,C#CC(CCCCC)c1ccc2c(c1)N(C(=O)OC(C)(C)C)CCC2(C)C
<RX_2>,train,CC(C)(C)C(=O)Cl.CCCCCCCCCCCC(=O)N(C)CCO,CCCCCCCCCCCC(=O)N(C)CCOC(=O)C(C)(C)C
<RX_3>,train,CN(C)C=O.COc1cc(Br)cc(C(C)C)c1,COc1cc(C=O)cc(C(C)C)c1
<RX_1>,train,CC(C)(C)OC(=O)N1CCC(CCS(=O)(=O)c2ccc(O)cc2)CC1.N#CCBr,CC(C)(C)OC(=O)N1CCC(CCS(=O)(=O)c2ccc(OCC#N)cc2)CC1
<RX_6>,train,C[C@H](c1ccccc1)N(CC(=O)OC(C)(C)C)S(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1,C[C@H](c1ccccc1)N(CC(=O)O)S(=O)(=O)c1ccc2c(Cl)cnc(NC(=N)N)c2c1
<RX_1>,train,CC(=O)c1cnc2c(c1)c(O)c(-c1ccccc1)c(=O)n2OCc1ccccc1.NCc1cccc(Cl)c1,CC(NCc1cccc(Cl)c1)c1cnc2c(c1)c(O)c(-c1ccccc1)c(=O)n2OCc1ccccc1
<RX_10>,train,COc1cc(C(=O)N2CCN(C(=O)CCCC=C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc(OC)c1OC.OO,COc1cc(C(=O)N2CCN(C(=O)CCCC(O)C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc(OC)c1OC
<RX_1>,train,C=CCCC(=O)N1CCc2nnc(Cl)cc2C1.CNN,C=CCCC(=O)N1CCc2nnc(N(C)N)cc2C1
<RX_1>,train,CN1Cc2cc(Cl)ccc2-n2c(Br)nnc2C1.O=C1OC2(CCNCC2)c2ccccc21,CN1Cc2cc(Cl)ccc2-n2c(nnc2N2CCC3(CC2)OC(=O)c2ccccc23)C1
<RX_2>,train,Nc1ccc2oc(-c3ccc4c(c3)OCO4)c(O)c(=O)c2c1.O=S(=O)(Cl)c1ccc(Br)cc1,O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc12
<RX_3>,train,CC(C)(C)OC(=O)CC1CC(C=O)OC(C)(C)O1.CC(C)n1c(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccc(COC(=O)C(C)(C)C)cc1,CC(C)n1c(C=CC2CC(CC(=O)OC(C)(C)C)OC(C)(C)O2)c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccc(COC(=O)C(C)(C)C)cc1
<RX_1>,train,CC[S-].O=C(O)c1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)ccc1F,CCSc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1C(=O)O
<RX_2>,train,CC(=O)Cl.Nc1ccc(Br)cc1CO,CC(=O)Nc1ccc(Br)cc1CO
<RX_9>,train,O=C1Nc2ccccc2C1(O)c1cc(Br)ccc1O,O=C1Nc2ccccc2C1c1cc(Br)ccc1O
<RX_1>,train,C=CCN.Cc1c(C(=O)O)ccc(S(C)(=O)=O)c1F,C=CCNc1c(S(C)(=O)=O)ccc(C(=O)O)c1C
<RX_6>,train,COc1ccccc1N1CCC2(CC1)OCCO2,COc1ccccc1N1CCC(=O)CC1
<RX_1>,train,CCOC(=O)CNC(=C(C#N)C#N)N1CCC[C@@H](NC(=O)OC(C)(C)C)C1.Clc1ccccc1CBr,CCOC(=O)CN(Cc1ccccc1Cl)C(=C(C#N)C#N)N1CCC[C@@H](NC(=O)OC(C)(C)C)C1
<RX_6>,train,Cc1cccc(-c2nccnc2N2CCN(C(=O)OC(C)(C)C)CC2)c1,Cc1cccc(-c2nccnc2N2CCNCC2)c1
<RX_2>,train,Nn1nc(C(F)(F)F)c2ccccc2c1=O.O=C(O)CSC12CC3CC(CC(C3)C1)C2,O=C(CSC12CC3CC(CC(C3)C1)C2)Nn1nc(C(F)(F)F)c2ccccc2c1=O
<RX_2>,train,CCOC(=O)c1coc(C(C)(C)O)n1.C[C@@H](CN)n1ccc(-c2cc(F)c(C#N)c(Cl)c2)n1,C[C@@H](CNC(=O)c1coc(C(C)(C)O)n1)n1ccc(-c2cc(F)c(C#N)c(Cl)c2)n1
<RX_2>,train,CC(C)(C)OC(=O)NN.COc1c(C(=O)O)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1,COc1c(C(=O)NNC(=O)OC(C)(C)C)ccc2c1c(/C=C/c1cccc(F)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1
<RX_6>,train,O=C1OCc2cc(-c3ccc(C4OCCO4)s3)ccc21,O=Cc1ccc(-c2ccc3c(c2)COC3=O)s1
<RX_6>,train,CO[C@@H]1CC[C@@H](NC(C)=O)c2ccccc21,CO[C@@H]1CC[C@@H](N)c2ccccc21
<RX_6>,train,COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)N(C(=O)OC(C)(C)C)[N+](=O)[O-])C(C)C,COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)N[N+](=O)[O-])C(C)C
<RX_1>,train,CS(=O)(=O)OCc1cc(F)c(Br)cc1F.C[C@H]1CCC(c2ccccc2)S(=O)(=O)N1,C[C@H]1CCC(c2ccccc2)S(=O)(=O)N1Cc1cc(F)c(Br)cc1F
<RX_8>,train,CC(C)(C)[Si](C)(C)O[C@H]1C[C@H](n2cc(I)c3c(N)ncnc23)OC1(CO)CO,CC(C)(C)[Si](C)(C)O[C@H]1C[C@H](n2cc(I)c3c(N)ncnc23)O[C@]1(C=O)CO
<RX_1>,train,COC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1.ClCCN1CCCC1,COC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(OCCN4CCCC4)cc3)sc2c1
<RX_1>,train,COCCOCCOCCOc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(N)c4OC)c4ccccc34)n2)cc(OC)c1.Clc1ncccn1,COCCOCCOCCOc1cc(Nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)cc(Nc5ncccn5)c4OC)c4ccccc34)n2)cc(OC)c1
<RX_1>,train,C#CCBr.Cn1nc(-c2cc3c(cc2F)NC(=O)CO3)c(Cl)c1C(F)(F)F,C#CCN1C(=O)COc2cc(-c3nn(C)c(C(F)(F)F)c3Cl)c(F)cc21
<RX_2>,train,COc1ccc(Cn2nccc2N)cc1.Cc1ccccc1-n1nnnc1SCC(=O)O,COc1ccc(Cn2nccc2NC(=O)CSc2nnnn2-c2ccccc2C)cc1
<RX_3>,train,Cc1c(C=O)[nH]c2c1C(=O)N(CCN1CCCC1)CCC2.O=C1Cc2cc(-c3ccccc3)ccc2N1,Cc1c(/C=C2\C(=O)Nc3ccc(-c4ccccc4)cc32)[nH]c2c1C(=O)N(CCN1CCCC1)CCC2
<RX_3>,train,FC(F)(F)Oc1cc(Br)ccc1I.O=C(O)CC(O)(CC(=O)O)C(=O)O,O=Cc1ccc(Br)cc1OC(F)(F)F
<RX_6>,train,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCNC(=O)OC(C)(C)C)c1nnc(C)n1-2,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN)c1nnc(C)n1-2
<RX_10>,train,COC(=O)c1cc2cccc(C)c2o1.O=C1CCC(=O)N1Br,COC(=O)c1cc2cccc(CBr)c2o1
<RX_1>,train,CC(=O)Nc1ccc(Sc2cccn3nc(Cl)nc23)cc1.CC(C)(C)OC(=O)N1CCC(c2ccc(N)cc2)CC1,CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1
<RX_1>,train,CC[C@H](NS(=O)(=O)c1ccc(C(=O)OC)cc1)c1ccccc1.N#Cc1ccc(CBr)cc1,CC[C@@H](c1ccccc1)N(Cc1ccc(C#N)cc1)S(=O)(=O)c1ccc(C(=O)OC)cc1
<RX_7>,train,COc1ccc(CCN2CC3C[Se]CC(C2)C3=O)cc1,COc1ccc(CCN2CC3C[Se]CC(C3)C2)cc1
<RX_6>,train,CC(C)(C)OC(=O)N1CCC(NC(=O)c2ccc(-c3cccc(F)c3)nc2)C(c2ccc(F)cc2)C1,O=C(NC1CCNCC1c1ccc(F)cc1)c1ccc(-c2cccc(F)c2)nc1
<RX_3>,train,C=CCBr.CC1(C)COC(c2ccc(Br)cc2)OC1,C=CCc1ccc(C2OCC(C)(C)CO2)cc1
<RX_2>,train,N[C@H]1CN2CCC1CC2.O=C(O)/C=C/c1ccoc1,O=C(/C=C/c1ccoc1)N[C@H]1CN2CCC1CC2
<RX_1>,train,CCOC(=O)CC1CCNCC1.O=C(NCC1CCCCC1)c1c(Cl)ccc2nc(Cl)ccc12,CCOC(=O)CC1CCN(c2ccc3c(C(=O)NCC4CCCCC4)c(Cl)ccc3n2)CC1
<RX_6>,train,CCCc1ccc(C(CN2CCNCC2)C2(O)CCCCC2)cc1,CC#Cc1ccc(C(CN2CCNCC2)C2(O)CCCCC2)cc1
<RX_1>,train,Cc1cc(F)ccc1[C@H]1CNCC[C@@H]1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.NC(=O)CI,Cc1cc(F)ccc1[C@H]1CN(CC(N)=O)CC[C@@H]1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
<RX_7>,train,O=C(O)c1cc(F)nc(F)c1,OCc1cc(F)nc(F)c1
<RX_3>,train,C#Cc1cc(OC)c2c(c1)C(C)(C)CCC2N(C)C1CC1.COC(=O)Cc1ccc(I)cc1F,COC(=O)Cc1ccc(C#Cc2cc(OC)c3c(c2)C(C)(C)CCC3N(C)C2CC2)cc1F
<RX_1>,train,CC(C)(C)OC(=O)N1CC(=O)Nc2ccccc2C1.CI,CN1C(=O)CN(C(=O)OC(C)(C)C)Cc2ccccc21
<RX_3>,train,O=C(CCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1ccc(Br)cc1.OB(O)c1ccccc1,O=C(CCCN1CCC(C(O)(c2ccccc2)c2ccccc2)CC1)c1ccc(-c2ccccc2)cc1
<RX_1>,train,COc1ccc(CCBr)cc1.O=C(c1nc2ccccc2s1)C1CCNCC1,COc1ccc(CCN2CCC(C(=O)c3nc4ccccc4s3)CC2)cc1
<RX_3>,train,CCCNC(=O)c1nnc2c(Br)cccc2c1N.COc1ncc(B(O)O)cn1,CCCNC(=O)c1nnc2c(-c3cnc(OC)nc3)cccc2c1N
<RX_6>,train,CCCCCC1CCc2c(I)c(OCOC)c(F)c(F)c2O1,CCCCCC1CCc2c(I)c(O)c(F)c(F)c2O1
<RX_1>,train,CC1(CCl)CO1.O=C1CCN(C(=O)/C=C/c2ccc(Cl)c(Cl)c2)CCN1,CC1(CN2CCN(C(=O)/C=C/c3ccc(Cl)c(Cl)c3)CCC2=O)CO1
<RX_6>,train,COc1cc(C(C)(C)C)c(O)c(C(=O)Nc2ccc(S(=O)(=O)C(F)(F)F)cc2Cl)c1C,Cc1c(O)cc(C(C)(C)C)c(O)c1C(=O)Nc1ccc(S(=O)(=O)C(F)(F)F)cc1Cl
<RX_7>,train,O=[N+]([O-])c1cc(Br)c2[nH]ccc2c1,Nc1cc(Br)c2[nH]ccc2c1
<RX_2>,train,CCOC(=O)c1c(O)cc(C)n(C)c1=O.Nc1ncc[nH]1,Cc1cc(O)c(C(=O)Nc2ncc[nH]2)c(=O)n1C
<RX_9>,train,CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1.CN(C)C(On1nnc2ccccc12)=[N+](C)C,CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(N)=O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
<RX_2>,train,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OC[C@@H]1CCCN1.CS(=O)(=O)Cl,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OC[C@@H]1CCCN1S(C)(=O)=O
<RX_2>,train,CN(C(=O)Cl)c1ccccc1.Oc1ccc(Oc2ccc(Cl)c(Cl)c2)nn1,CN(C(=O)Oc1ccc(Oc2ccc(Cl)c(Cl)c2)nn1)c1ccccc1
<RX_2>,train,Nc1ncc(Br)cc1C(=O)c1cccc(N2CCCNCC2)n1.O=C(O)CC(F)(F)F,Nc1ncc(Br)cc1C(=O)c1cccc(N2CCCN(C(=O)CC(F)(F)F)CC2)n1
<RX_1>,train,CN1CC[C@]23CC(=O)CC[C@H]2[C@H]1Cc1cccc(O)c13.Clc1nnnn1-c1ccccc1,CN1CC[C@]23CC(=O)CC[C@H]2[C@H]1Cc1cccc(Oc2nnnn2-c2ccccc2)c13
<RX_1>,train,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O=C1c2ccccc2C(=O)N1CCCBr,CN1CC[C@]23c4c5ccc(OCCCN6C(=O)c7ccccc7C6=O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
<RX_4>,train,CC(C)C(=O)Nc1cccc(C2CCN(CCCCC(=O)c3ccc(C(F)(F)F)cc3)CC2)c1.Cc1ccc(NN)cc1,Cc1ccc2[nH]c(-c3ccc(C(F)(F)F)cc3)c(CCCN3CCC(c4cccc(NC(=O)C(C)C)c4)CC3)c2c1
<RX_1>,train,NC1(Cl)N=C(Cc2ccccc2)C([N+](=O)[O-])=CN1.c1nnn[nH]1,NC1(n2cnnn2)N=C(Cc2ccccc2)C([N+](=O)[O-])=CN1
<RX_1>,train,CS(=O)(=O)c1ccc(C=O)cc1.Nc1ccc(-c2c(N)nc(N)nc2C2CCCC2)cc1,CS(=O)(=O)c1ccc(CNc2ccc(-c3c(N)nc(N)nc3C3CCCC3)cc2)cc1
<RX_2>,train,CC[C@H](N)C(=O)C(=O)NC1CC1.O=C(O)[C@@H]1C[C@@H](S(=O)(=O)c2ccc(N3CCOCC3)cc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1,CC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccc(N3CCOCC3)cc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1)C(=O)C(=O)NC1CC1
<RX_2>,train,CN.COC(=O)c1cnc(-c2nc3c(s2)CCN(C2CCC2)CC3)cn1,CNC(=O)c1cnc(-c2nc3c(s2)CCN(C2CCC2)CC3)cn1
<RX_1>,train,CI.COc1cc2c(cc1OC)-c1cc(=O)[nH]c(=O)n1CC2,COc1cc2c(cc1OC)-c1cc(=O)n(C)c(=O)n1CC2
<RX_1>,train,COc1cc(-c2ccc(Cl)c(C)c2)c(F)cc1Nc1ccc(Br)cc1C=O.SCc1ccccc1,COc1cc(-c2ccc(Cl)c(C)c2)c(F)cc1Nc1ccc(SCc2ccccc2)cc1C=O
<RX_1>,train,COc1ccc(Cn2c(NN)cc(=O)n(C)c2=O)cc1.O=Cc1ccc(-c2ccccc2)cc1,COc1ccc(Cn2c(NN=Cc3ccc(-c4ccccc4)cc3)cc(=O)n(C)c2=O)cc1
<RX_2>,train,O=C(O)C[C@@H]1Cc2ccc3[nH]ncc3c2CN(Cc2ccccc2)C1=O.O=C1Nc2ccccc2CC1N1CCNCC1,O=C1Nc2ccccc2CC1N1CCN(C(=O)C[C@@H]2Cc3ccc4[nH]ncc4c3CN(Cc3ccccc3)C2=O)CC1
<RX_6>,train,CC(C)N1CCN(C(=O)OC(C)(C)C)[C@H](C)C1,CC(C)N1CCN[C@H](C)C1
<RX_6>,train,COC(=O)c1ccc(NC(=O)c2ccccc2-c2ccccc2)cc1,O=C(O)c1ccc(NC(=O)c2ccccc2-c2ccccc2)cc1
<RX_7>,train,Cc1cccc(C2NC(=O)CC(c3cccc(Cl)c3)C23C(=O)Nc2cc(Cl)ccc23)c1,Cc1cccc(C2NCCC(c3cccc(Cl)c3)C23C(=O)Nc2cc(Cl)ccc23)c1
<RX_1>,train,Ic1ccccc1.Nc1cc[nH]n1,Nc1ccn(-c2ccccc2)n1
<RX_1>,train,CN1CCc2sccc2C(O)C1.Fc1ccccc1Br,CN1CCc2sccc2C(Oc2ccccc2Br)C1
<RX_2>,train,Cc1ccc(O)cc1.O=C(Cl)CCCl,Cc1ccc(OC(=O)CCCl)cc1
<RX_6>,train,CC(C)(C)OC(=O)CCOCCCc1cccc(-c2nc(=O)c3ccccc3s2)n1,O=C(O)CCOCCCc1cccc(-c2nc(=O)c3ccccc3s2)n1
<RX_7>,train,CCOC(=O)C1CC=C(c2ccc(N)c3c(=O)c(C)c[nH]c23)CC1,CCOC(=O)[C@H]1CC[C@@H](c2ccc(N)c3c(=O)c(C)c[nH]c23)CC1
<RX_7>,train,O=C(O)c1ccc(CBr)cc1Br,OCc1ccc(CBr)cc1Br
<RX_6>,train,COC(=O)c1ccc2nc(-c3ccc(F)cc3)c(N3CCCc4ccc(F)cc43)nc2c1,O=C(O)c1ccc2nc(-c3ccc(F)cc3)c(N3CCCc4ccc(F)cc43)nc2c1
<RX_1>,train,CC(C)(C)OC(=O)N1CCC(O)CC1.O=[N+]([O-])c1ccc(O)cc1F,CC(C)(C)OC(=O)N1CCC(Oc2ccc([N+](=O)[O-])c(F)c2)CC1
<RX_1>,train,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1[C@@H]1CCNC[C@H]1F.OCCBr,O=C1S/C(=C\c2ccc3c(cnn3Cc3ccc(Cl)cc3C(F)(F)F)c2)C(=O)N1[C@@H]1CCN(CCO)C[C@H]1F
<RX_2>,train,COCC(=O)Cl.Cc1[nH]c2c(-c3c(OCC4CC4)ccc4c3OCO4)ncnc2c1C(=O)N[C@@H]1CCNC1,COCC(=O)N1CC[C@@H](NC(=O)c2c(C)[nH]c3c(-c4c(OCC5CC5)ccc5c4OCO5)ncnc23)C1
<RX_1>,train,COC(=O)c1ccnc(Cl)c1.C[O-],COC(=O)c1ccnc(OC)c1
<RX_1>,train,Cc1[nH]c2ccc(Br)cc2c1C.Fc1cccnc1,Cc1c(C)n(-c2cccnc2)c2ccc(Br)cc12
<RX_1>,train,CCOc1ccc(-c2nc3ccccn3c2-c2ccnc(Cl)n2)cc1C(=O)Nc1c(F)cccc1F.COc1cc(C2CCN(CC(C)C)CC2)ccc1N,CCOc1ccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(C4CCN(CC(C)C)CC4)cc3OC)n2)cc1C(=O)Nc1c(F)cccc1F
<RX_2>,train,O=C(Cl)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])CCCO,O=C(OCCCS(=O)(=O)[O-])C12CC3CC(CC(C3)C1)C2
<RX_6>,train,O=C(C=Cc1ccc(Cn2cc(-c3ccc(CN4CCCC4)cc3)nn2)cc1)NOC1CCCCO1,O=C(C=Cc1ccc(Cn2cc(-c3ccc(CN4CCCC4)cc3)nn2)cc1)NO
<RX_3>,train,Cc1c(I)sc2c(N3CCOCC3)nc(Cl)nc12.O=Cc1cc(B(O)O)cs1,Cc1c(-c2csc(C=O)c2)sc2c(N3CCOCC3)nc(Cl)nc12
<RX_1>,train,CC(C)(C)[Si](C)(C)OC1CCc2ccc(B(O)O)cc21.CCCCc1nc(C)[nH]c(=O)c1Cc1ccc(-c2ccccc2C#N)cc1,CCCCc1nc(C)n(-c2ccc3c(c2)C(O[Si](C)(C)C(C)(C)C)CC3)c(=O)c1Cc1ccc(-c2ccccc2C#N)cc1
<RX_6>,train,CC(=O)OCc1cc2c(cc1[N+](=O)[O-])[C@H](NC(=O)C(F)(F)F)CCC2,O=C(N[C@@H]1CCCc2cc(CO)c([N+](=O)[O-])cc21)C(F)(F)F
<RX_5>,train,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.OC1(c2ccc(Cl)cc2)CCNCC1,CC(C)(C)OC(=O)N1CCC(O)(c2ccc(Cl)cc2)CC1
<RX_2>,train,CCOCCn1c(N2CCCN(CCC3(c4ccccc4)CCNC3)CC2)nc2ccccc12.COc1ccc(-c2nnn[nH]2)cc1C(=O)O,CCOCCn1c(N2CCCN(CCC3(c4ccccc4)CCN(C(=O)c4cc(-c5nnn[nH]5)ccc4OC)C3)CC2)nc2ccccc12
<RX_1>,train,N#Cc1c(N)sc2ccccc12.O=[N+]([O-])c1cc(C(F)(F)F)ccc1F,N#Cc1c(Nc2ccc(C(F)(F)F)cc2[N+](=O)[O-])sc2ccccc12
<RX_2>,train,CCNCC.O=C(Cl)c1ccccc1Cl,CCN(CC)C(=O)c1ccccc1Cl
<RX_6>,train,COC(=O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1,O=C(O)Cc1cccc(Oc2cccc(-c3nnc(Nc4ccc(Cl)c(Cl)c4)s3)c2)c1
<RX_9>,train,FC(F)(F)c1nc(Cl)c(-c2ccccc2)c(-c2ccccc2)n1.[N-]=[N+]=[N-],[N-]=[N+]=Nc1nc(C(F)(F)F)nc(-c2ccccc2)c1-c1ccccc1
<RX_1>,train,CCOC(=O)C1CCNCC1.COc1cc2c(Oc3cc4ccccc4nc3C)ccnc2cc1OCCCl,CCOC(=O)C1CCN(CCOc2cc3nccc(Oc4cc5ccccc5nc4C)c3cc2OC)CC1
<RX_6>,train,CC(C)(C)OC(=O)N1CCC(c2ccc(N3CCCC3)cc2)CC1,c1cc(N2CCCC2)ccc1C1CCNCC1
<RX_2>,train,O=C=NC1CCCCC1.OB1OCc2ccc(O)cc21,O=C(NC1CCCCC1)Oc1ccc2c(c1)B(O)OC2
<RX_6>,train,CC(C)c1nc(COCc2ccccc2)n(CCCc2ccccn2)c1Sc1cc(Cl)cc(Cl)c1,CC(C)c1nc(CO)n(CCCc2ccccn2)c1Sc1cc(Cl)cc(Cl)c1
<RX_4>,train,C=C(C)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1.OO,CC1(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)CO1
<RX_2>,train,COc1ccc(C(=O)O)cc1Br.Nc1cnc2c(c1)CN(Cc1ccccc1)CC2,COc1ccc(C(=O)Nc2cnc3c(c2)CN(Cc2ccccc2)CC3)cc1Br
<RX_7>,train,COC(=O)N[C@@H]1CCC(=O)N2c3cc(Br)c(F)cc3Oc3cc(F)ccc3[C@@H]12,COC(=O)N[C@@H]1CCCN2c3cc(Br)c(F)cc3Oc3cc(F)ccc3[C@@H]12
<RX_1>,train,CN1CCC(CO)C1.COCCOc1ccn2c(-c3ccc4cccc(O)c4n3)cnc2c1,COCCOc1ccn2c(-c3ccc4cccc(OCC5CCN(C)C5)c4n3)cnc2c1
<RX_2>,train,COc1c(C(=O)O)nc(N2CCCCS2(=O)=O)n(C)c1=O.NCc1ccc(F)cc1,COc1c(C(=O)NCc2ccc(F)cc2)nc(N2CCCCS2(=O)=O)n(C)c1=O
<RX_3>,train,CCCC[Sn](CCCC)(CCCC)c1ccnn1-c1ccc(C#N)cc1.Cc1c(Br)cn2ccnc2c1-c1cccc(C(F)(F)F)c1,Cc1c(-c2ccnn2-c2ccc(C#N)cc2)cn2ccnc2c1-c1cccc(C(F)(F)F)c1
<RX_6>,train,CCCCCCCCCCCCCCCC(=O)OCC(CSCCC(=O)OCc1ccc(OC)cc1)OC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)OCC(CSCCC(=O)O)OC(=O)CCCCCCCCCCCCCCC
<RX_3>,train,F[C@@H]1CCN(CCn2nc(I)c3c(Cl)c(-c4ccccc4)nnc23)C1.OB(O)c1ccc(F)cc1,Fc1ccc(-c2nn(CCN3CC[C@@H](F)C3)c3nnc(-c4ccccc4)c(Cl)c23)cc1
<RX_1>,train,CCCNC.COc1cc(CCn2ccc(OCc3ccc(F)cc3)cc2=O)ccc1CO,CCCN(C)Cc1ccc(CCn2ccc(OCc3ccc(F)cc3)cc2=O)cc1OC
<RX_2>,train,NCC(N)=O.O=C(O)c1cccc(OCCCOc2ncnc3scc(-c4ccc(F)cc4)c23)c1,NC(=O)CNC(=O)c1cccc(OCCCOc2ncnc3scc(-c4ccc(F)cc4)c23)c1
<RX_2>,train,CNCCN(C)C.O=C(O)c1cc2nccc(Cl)c2s1,CN(C)CCN(C)C(=O)c1cc2nccc(Cl)c2s1
